048132,Clearview Local,Lorain
046326,Clermont Northeastern Local,Clermont
007995,Cleveland Arts and Social Sciences Academy,Cuyahoga
012010,Cleveland College Preparatory School,Cuyahoga
043794,Cleveland Heights-University Heights City,Cuyahoga
043786,Cleveland Municipal,Cuyahoga
013199,Cleveland Preparatory Academy,Cuyahoga
046391,Clinton-Massie Local,Clinton
048488,Cloverleaf Local,Medina
045302,Clyde-Green Springs Exempted Village,Sandusky
045310,Coldwater Exempted Village,Mercer
046516,Colonel Crawford Local,Crawford
048140,Columbia Local,Lorain
045328,Columbiana Exempted Village,Columbiana
000557,Columbus Arts & Technology Academy,Franklin
011468,Columbus Bilingual Academy-North,Franklin
021487,Columbus Bilingual West,Franklin
043802,Columbus City Schools District,Franklin
049312,Columbus Grove Local,Putnam
000553,"Columbus Humanities, Arts and Technology Academy",Franklin
021448,Columbus Noor Academy,Franklin
012011,Columbus Performance Academy,Franklin
000558,Columbus Preparatory Academy,Franklin
000952,Columbus Preparatory and Fitness Academy,Franklin
019602,Community STE(A)M Academy - Xenia,Greene
043810,Conneaut Area City,Ashtabula
047548,Conotton Valley Union Local,Carroll
012671,Constellation Schools: Eastside Arts Academy,Cuyahoga
132969,Constellation Schools: Elyria Community,Lorain
132951,Constellation Schools: Lorain Community Elementary,Lorain
000320,Constellation Schools: Lorain Community Middle,Lorain
000319,Constellation Schools: Madison Community Elementary,Cuyahoga
134098,Constellation Schools: Old Brooklyn Community Elementary,Cuyahoga
000321,Constellation Schools: Old Brooklyn Community Middle,Cuyahoga
133256,Constellation Schools: Parma Community,Cuyahoga
143479,Constellation Schools: Puritas Community Elementary,Cuyahoga
000534,Constellation Schools: Puritas Community Middle,Cuyahoga
143487,Constellation Schools: Stockyard Community Elementary,Cuyahoga
012025,Constellation Schools: Stockyard Community Middle,Cuyahoga
132993,Constellation Schools: Westpark Community Elementary,Cuyahoga
000316,Constellation Schools: Westpark Community Middle,Cuyahoga
009149,Constellation Schools: Westside Community School of the Arts,Cuyahoga
049320,Continental Local,Putnam
049981,Copley-Fairlawn City,Summit
133439,Cornerstone Academy Community School,Franklin
047431,Cory-Rawson Local,Hancock
043828,Coshocton City,Coshocton
049999,Coventry Local,Summit
045336,Covington Exempted Village,Miami
045344,Crestline Exempted Village,Crawford
046433,Crestview Local,Columbiana
049429,Crestview Local,Richland
050351,Crestview Local,Van Wert
049189,Crestwood Local,Portage
045351,Crooksville Exempted Village,Perry
043836,Cuyahoga Falls City School District,Summit
046557,Cuyahoga Heights Local,Cuyahoga
050542,Dalton Local,Wayne
048934,Danbury Local,Ottawa
047837,Danville Local,Knox
047928,Dawson-Bryant Local,Lawrence
043844,Dayton City,Montgomery
009283,"Dayton Early College Academy, Inc",Montgomery
011506,Dayton Regional STEM Schools,Montgomery
014149,Dayton SMART Elementary School,Montgomery
012924,DECA PREP,Montgomery
043851,Deer Park Community City,Hamilton
043869,Defiance City,Defiance
043877,Delaware City,Delaware
043885,Delphos City,Allen
014188,Discovery Academy,Lucas
043893,Dover City,Tuscarawas
047027,Dublin City,Delaware
019227,Dublin Preparatory Academy dba Northside Preparatory Academy,Hamilton
014187,East Academy,Cuyahoga
015713,East Branch Preparatory AcademydbaWright Preparatory Academy,Stark
000938,East Bridge Academy of Excellence,Franklin
043901,East Cleveland City School District,Cuyahoga
046409,East Clinton Local,Clinton
069682,East Guernsey Local,Guernsey
047688,East Holmes Local,Holmes
047845,East Knox Local,Knox
043919,East Liverpool City,Columbiana
048835,East Muskingum Local,Muskingum
043927,East Palestine City,Columbiana
014147,East Preparatory Academy,Cuyahoga
048512,Eastern Local,Meigs
046037,Eastern Local School District,Brown
049122,Eastern Local School District,Pike
014090,Eastland Preparatory Academy,Franklin
050674,Eastwood Local,Wood
043935,Eaton Community City,Preble
133538,Edge Learning,Summit
050617,Edgerton Local,Williams
046094,Edgewood City School District,Butler
047795,Edison Local,Jefferson
046789,Edison Local (formerly Berlin-Milan),Erie
050625,Edon Northwest Local,Williams
000779,Educational Academy for Boys & Girls,Franklin
048413,Elgin Local,Marion
045773,Elida Local,Allen
050682,Elmwood Local,Wood
043943,Elyria City Schools,Lorain
000577,Emerson Academy,Montgomery
017212,Empowered by the Arts Academy,Hamilton
043950,Euclid City,Cuyahoga
015712,Euclid Preparatory School,Cuyahoga
047050,Evergreen Local,Fulton
019474,Explorers Academy of Science and Technology,Lucas
050328,Fairbanks Local,Union
043968,Fairborn City,Greene
046102,Fairfield City,Butler
047621,Fairfield Local,Highland
020759,Fairfield Preparatory Academy,Butler
046870,Fairfield Union Local,Fairfield
047936,Fairland Local,Lawrence
049775,Fairlawn Local,Shelby
049841,Fairless Local,Stark
045369,Fairport Harbor Exempted Village,Lake
043976,Fairview Park City,Cuyahoga
047068,Fayette Local,Fulton
046045,Fayetteville-Perry Local,Brown
045914,Federal Hocking Local,Athens
046334,Felicity-Franklin Local,Clermont
049197,Field Local,Portage
043984,Findlay City,Hancock
047332,Finneytown Local,Hamilton
048157,Firelands Local,Lorain
019235,Focus Learning Academy of Central Columbus,Franklin
142943,Focus Learning Academy of Northern Columbus,Franklin
047340,Forest Hills Local,Hamilton
050484,Fort Frye Local,Washington
049783,Fort Loramie Local,Shelby
048595,Fort Recovery Local,Mercer
043992,Fostoria City,Seneca
009192,Foundation Academy,Richland
044008,Franklin City,Warren
020760,Franklin Learning Academy,Franklin
048843,Franklin Local,Muskingum
046649,Franklin Monroe Local,Darke
019226,Franklinton High School,Franklin
047852,Fredericktown Local,Knox
044016,Fremont City,Sandusky
050492,Frontier Local,Washington
046961,Gahanna-Jefferson City,Franklin
044024,Galion City,Crawford
065680,Gallia County Local,Gallia
044032,Gallipolis City,Gallia
050278,Garaway Local,Tuscarawas
044040,Garfield Heights City Schools,Cuyahoga
044057,Geneva Area City,Ashtabula
048942,Genoa Area Local,Ottawa
045377,Georgetown Exempted Village,Brown
045385,Gibsonburg Exempted Village,Sandusky
021456,Ginn-Thompson School for Girls,Cuyahoga
044065,Girard City School District,Trumbull
015737,Global Ambassadors Language Academy,Cuyahoga
013930,Global Impact STEM Academy,Clark
012558,Global Village Academy,Cuyahoga
046342,Goshen Local,Clermont
011972,Graham Elementary and Middle School,Franklin
046193,Graham Local,Champaign
133421,"Graham School, The",Franklin
045864,Grand Valley Local,Ashtabula
044073,Grandview Heights Schools,Franklin
045393,Granville Exempted Village,Licking
017233,Great River Connections Academy,Franklin
143198,Great Western Academy,Franklin
011381,Greater Summit County Early Learning Center,Summit
134197,Green Inspiration Academy,Cuyahoga
049619,Green Local,Scioto
050013,Green Local,Summit
050559,Green Local,Wayne
047266,Greeneview Local,Greene
045401,Greenfield Exempted Village,Highland
046235,Greenon Local,Clark
044099,Greenville City,Darke
008287,Groveport Community School,Franklin
046979,Groveport Madison Local,Franklin
044107,Hamilton City,Butler
143602,Hamilton Cnty Math & Science,Hamilton
046953,Hamilton Local,Franklin
047498,Hardin Northern Local,Hardin
049791,Hardin-Houston Local,Shelby
045245,Harrison Hills City,Harrison
008286,Harvard Avenue Performance Academy,Cuyahoga
021447,Heart of Ohio Classical Academy,Franklin
044115,Heath City,Licking
000613,Heir Force Community School,Allen
045419,Hicksville Exempted Village School District,Defiance
048496,Highland Local,Medina
048801,Highland Local,Morrow
047019,Hilliard City,Franklin
044123,Hillsboro City,Highland
045823,Hillsdale Local,Ashland
020188,Hinckley Preparatory Academy,Medina
047571,Holgate Local,Henry
142968,Hope Academy Northcoast Campus,Cuyahoga
014091,Hope Learning Academy of Toledo,Lucas
049700,Hopewell-Loudon Local,Seneca
133660,Horizon Science Academy Columbus,Franklin
009179,Horizon Science Academy Columbus Middle School,Franklin
011976,Horizon Science Academy Dayton Downtown,Montgomery
011534,Horizon Science Academy Dayton High School,Montgomery
009990,Horizon Science Academy Elementary School,Franklin
011533,Horizon Science Academy Lorain,Lorain
000338,Horizon Science Academy Toledo,Lucas
011986,Horizon Science Academy Youngstown,Mahoning
000804,Horizon Science Academy-Cincinnati,Hamilton
000858,Horizon Science Academy-Cleveland Middle School,Cuyahoga
000808,Horizon Science Academy-Dayton,Montgomery
000838,Horizon Science Academy-Denison Middle School,Cuyahoga
000825,Horizon Science Academy-Springfield,Lucas
050161,Howland Local,Trumbull
045427,Hubbard Exempted Village,Trumbull
048751,Huber Heights City,Montgomery
017535,Huber Heights Preparatory Academy dba Parma Academy,Cuyahoga
050021,Hudson City,Summit
049502,Huntington Local,Ross
044131,Huron City Schools,Erie
021458,Huron Sports Academy,Erie
020007,"IDEA Greater Cincinnati, Inc",Hamilton
011947,Imagine Akron Academy,Summit
014139,Imagine Columbus Primary Academy,Franklin
014121,Imagine Leadership Academy,Summit
046565,Independence Local,Cuyahoga
047803,Indian Creek Local,Jefferson
045435,Indian Hill Exempted Village,Hamilton
048082,Indian Lake Local,Logan
050286,Indian Valley Local,Tuscarawas
143313,Innovation Academy West,Cuyahoga
133215,"Intergenerational School, The",Cuyahoga
143172,International Acad Of Columbus,Franklin
044149,Ironton City School District,Lawrence
015329,iSTEM,Lake
049809,Jackson Center Local,Shelby
044156,Jackson City,Jackson
049858,Jackson Local,Stark
048322,Jackson-Milton Local,Mahoning
049205,James A Garfield Local,Portage
045872,Jefferson Area Local,Ashtabula
048256,Jefferson Local,Madison
048686,Jefferson Township Local,Montgomery
049338,Jennings Local,Putnam
047985,Johnstown-Monroe Local,Licking
048264,Jonathan Alder Local,Madison
050179,Joseph Badger Local,Trumbull
049346,Kalida Local,Putnam
017536,Kenmore Preparatory Academy dba Toledo Preparatory Academy,Lucas
047191,Kenston Local,Geauga
044164,Kent City,Portage
044172,Kenton City,Hardin
044180,Kettering City School District,Montgomery
048165,Keystone Local,Lorain
016836,Kids Care Elementary,Franklin
050435,Kings Local,Warren
009997,KIPP Columbus,Franklin
047878,Kirtland Local,Lake
009957,Klepinger Community School,Montgomery
010205,L. Hollingworth School for Talented and Gifted,Lucas
050245,LaBrae Local,Trumbull
021457,Lake Erie Bilingual Academy,Lake
013132,Lake Erie College Preparatory School,Cuyahoga
049866,Lake Local,Stark
050690,Lake Local,Wood
011511,Lakeland Academy Community School,Harrison
050187,Lakeview Local,Trumbull
044198,Lakewood City,Cuyahoga
047993,Lakewood Local,Licking
046110,Lakota Local,Butler
049569,Lakota Local,Sandusky
044206,Lancaster City,Fairfield
044214,Lebanon City,Warren
045443,Leetonia Exempted Village School District,Columbiana
020091,Legacy Academy of Excellence,Franklin
021442,Legacy Academy of Excellence Mansfield,Richland
049353,Leipsic Local,Putnam
049437,Lexington Local,Richland
047589,Liberty Center Local,Henry
050195,Liberty Local,Trumbull
046888,Liberty Union-Thurston Local,Fairfield
047449,Liberty-Benton Local,Hancock
048009,Licking Heights Local,Licking
048017,Licking Valley Local,Licking
044222,Lima City,Allen
021547,LINC Academy Columbus,Franklin
014065,Lincoln Park Academy,Cuyahoga
050369,Lincolnview Local,Van Wert
045450,Lisbon Exempted Village,Columbiana
050443,Little Miami Local,Warren
044230,Lockland Local,Hamilton
049080,Logan Elm Local,Pickaway
044248,Logan-Hocking Local,Hocking
044255,London City,Madison
017270,Lorain Bilingual Preparatory Academy,Lorain
044263,Lorain City,Lorain
008000,Lorain Preparatory Academy,Lorain
020186,Lorain Preparatory High School,Lorain
050203,Lordstown Local,Trumbull
045468,Loudonville-Perrysville Exempted Village,Ashland
049874,Louisville City,Stark
044271,Loveland City,Clermont
048330,Lowellville Local,Mahoning
049445,Lucas Local,Richland
047639,Lynchburg-Clay Local,Highland
048702,Mad River Local,Montgomery
044289,Madeira City,Hamilton
009955,Madison Avenue School of Arts,Lucas
046128,Madison Local,Butler
047886,Madison Local,Lake
049452,Madison Local,Richland
048272,Madison-Plains Local,Madison
014066,Main Preparatory Academy,Summit
000442,Manchester Local,Adams
050005,Manchester Local,Summit
044297,Mansfield City,Richland
044305,Maple Heights City,Cuyahoga
045831,Mapleton Local,Ashland
050211,Maplewood Local,Trumbull
046805,Margaretta Local,Erie
044313,Mariemont City,Hamilton
044321,Marietta City,Washington
044339,Marion City,Marion
048553,Marion Local,Mercer
000770,"Maritime Academy of Toledo, The",Lucas
049882,Marlington Local,Stark
044347,Martins Ferry City,Belmont
045476,Marysville Exempted Village,Union
050450,Mason City,Warren
044354,Massillon City,Stark
021440,"Mater Academy Preparatory, Inc.",Franklin
050153,Mathews Local,Trumbull
044362,Maumee City,Lucas
044370,Mayfield City,Cuyahoga
048850,Maysville Local,Muskingum
047456,McComb Local,Hancock
050229,McDonald Local,Trumbull
045484,Mechanicsburg Exempted Village,Champaign
044388,Medina City SD,Medina
048520,Meigs Local,Meigs
000318,Menlo Park Academy,Cuyahoga
045492,Mentor Exempted Village,Lake
012391,Metro Early College High School,Franklin
048629,Miami East Local,Miami
046920,Miami Trace Local,Fayette
132944,Miami Valley Academies,Montgomery
044396,Miamisburg City,Montgomery
134213,Middlebury Academy,Summit
044404,Middletown City,Butler
143214,Middletown Preparatory & Fitness Academy,Butler
000780,Midnimo Cross Cultural Middle School,Franklin
048173,Midview Local,Lorain
045500,Milford Exempted Village,Clermont
050633,Millcreek-West Unity Local,Williams
049361,Miller City-New Cleveland Local,Putnam
045518,Milton-Union Exempted Village,Miami
049890,Minerva Local,Stark
049627,Minford Local,Scioto
045948,Minster Local,Auglaize
046672,Mississinawa Valley Local,Darke
050039,Mogadore Local,Summit
050740,Mohawk Local,Wyandot
139303,Monroe Local,Butler
008064,Monroe Preparatory Academy,Erie
047712,Monroeville Local,Huron
017259,Montgomery Preparatory Academy,Montgomery
045526,Montpelier Exempted Village,Williams
048777,Morgan Local,Morgan
020728,Mosaic Classical Academy,Lucas
017274,Mount Auburn Preparatory Academy,Hamilton
045534,Mount Gilead Exempted Village,Morrow
044420,Mount Vernon City,Knox
044412,Mt Healthy City,Hamilton
000953,Mt. Healthy Preparatory and Fitness Academy,Hamilton
044438,Napoleon Area City,Henry
049270,National Trail Local,Preble
044446,Nelsonville-York City,Athens
046995,New Albany-Plain Local,Franklin
044461,New Boston Local,Scioto
045955,New Bremen Local,Auglaize
045963,New Knoxville Local,Auglaize
048710,New Lebanon Local School District,Montgomery
044479,New Lexington School District,Perry
047720,New London Local,Huron
046136,New Miami Local,Butler
044487,New Philadelphia City,Tuscarawas
045559,New Richmond Exempted Village,Clermont
020761,New Richmond Preparatory Academy,Clermont
049718,New Riegel Local,Seneca
044453,Newark City,Licking
045542,Newcomerstown Exempted Village,Tuscarawas
045567,Newton Falls Exempted Village,Trumbull
048637,Newton Local,Miami
044495,Niles City,Trumbull
019478,Niles Preparatory Academy,Trumbull
008278,Noble Academy-Cleveland,Cuyahoga
008280,Noble Academy-Columbus,Franklin
048900,Noble Local,Noble
050047,Nordonia Hills City,Summit
050708,North Baltimore Local,Wood
044503,North Canton City,Stark
050641,North Central Local,Williams
044511,North College Hill City,Hamilton
017538,North Columbus Preparatory Academy,Franklin
143529,North Dayton School of Discovery,Montgomery
048025,North Fork Local,Licking
044529,North Olmsted City,Cuyahoga
044537,North Ridgeville City,Lorain
044545,North Royalton City,Cuyahoga
050336,North Union Local School District,Union
021449,Northeast Ohio Classical Academy,Summit
046250,Northeastern Local,Clark
046722,Northeastern Local,Defiance
049056,Northern Local,Perry
000511,Northland Preparatory and Fitness Academy,Franklin
048728,Northmont City,Montgomery
048819,Northmor Local,Morrow
048033,Northridge Local,Licking
048736,Northridge Local,Montgomery
047365,Northwest Local,Hamilton
049635,Northwest Local,Scioto
049908,Northwest Local,Stark
017498,Northwest Ohio Classical Academy,Lucas
046268,Northwestern Local,Clark
050575,Northwestern Local,Wayne
050716,Northwood Local Schools,Wood
044552,Norton City,Summit
044560,Norwalk City,Huron
050567,Norwayne Local,Wayne
044578,Norwood City,Hamilton
047761,Oak Hill Union Local,Jackson
047373,Oak Hills Local,Hamilton
000679,Oakstone Community School,Franklin
044586,Oakwood City,Montgomery
044594,Oberlin City Schools,Lorain
133561,"Ohio Achievement Charter Schools, Inc. dba Millennium Commun",Franklin
013253,Ohio College Preparatory School,Cuyahoga
000236,"Ohio Connections Academy, Inc",Franklin
142950,Ohio Virtual Academy,Lucas
049726,Old Fort Local,Seneca
046763,Olentangy Local,Delaware
046573,Olmsted Falls City,Cuyahoga
049478,Ontario Local,Richland
046581,Orange City,Cuyahoga
016837,Orchard Park Academy,Cuyahoga
044602,Oregon City,Lucas
000559,Orion Academy,Hamilton
044610,Orrville City,Wayne
049916,Osnaburg Local,Stark
050724,Otsego Local,Wood
048215,Ottawa Hills Local,Lucas
049379,Ottawa-Glandorf Local,Putnam
049387,Ottoville Local,Putnam
044628,Painesville City Local,Lake
049510,Paint Valley Local,Ross
049395,Pandora-Gilboa Local,Putnam
000941,Par Excellence Academy dba Par Excellence STEM Academy,Licking
048579,Parkway Local,Mercer
044636,Parma City,Cuyahoga
020755,Pathfinder Career Academy of Ohio,Cuyahoga
000138,Pathway School of Discovery,Montgomery
047597,Patrick Henry Local,Henry
012045,Patriot Preparatory Academy,Franklin
045575,Paulding Exempted Village,Paulding
010182,Performance Academy Eastland,Franklin
046813,Perkins Local,Erie
045781,Perry Local,Allen
047902,Perry Local,Lake
049924,Perry Local,Stark
045583,Perrysburg Exempted Village,Wood
047076,Pettisville Local,Fulton
046896,Pickerington Local,Fairfield
047084,Pike-Delta-York Local,Fulton
000543,Pinnacle Academy,Cuyahoga
044644,Piqua City,Miami
049932,Plain Local,Stark
048421,Pleasant Local,Marion
049460,Plymouth-Shiloh Local,Richland
048348,Poland Local,Mahoning
044651,Port Clinton City,Ottawa
044669,Portsmouth City,Scioto
049288,Preble Shawnee Local,Preble
044677,Princeton City,Hamilton
048975,Put-In-Bay Local,Ottawa
045880,Pymatuning Valley Local School District,Ashtabula
044685,Ravenna City,Portage
044693,Reading Community City,Hamilton
017490,ReGeneration Bond Hill,Hamilton
020817,ReGeneration Middle School,Hamilton
133504,ReGeneration Schools Avondale Elementary,Hamilton
011439,Renaissance Academy dba Bessie Sherrod Price Preparatory Aca,Franklin
050054,Revere Local,Summit
047001,Reynoldsburg City,Franklin
133736,Richard Allen Academy,Butler
133348,Richard Allen Preparatory,Montgomery
046599,Richmond Heights Local,Cuyahoga
048439,Ridgedale Local,Marion
047506,Ridgemont Local,Hardin
046474,Ridgewood Local,Coshocton
046078,Ripley-Union-Lewis-Huntington Local,Brown
013999,Rise & Shine Academy,Lucas
045591,Rittman Exempted Village,Wayne
048447,River Valley Local,Marion
046482,River View Local,Coshocton
047514,Riverdale Local,Hancock
133678,"Riverside Community School, Inc. dba Riverside Academy",Hamilton
047894,Riverside Local,Lake
048090,Riverside Local,Logan
047944,Rock Hill Local,Lawrence
044701,Rocky River City,Cuyahoga
047308,Rolling Hills Local,Guernsey
049213,Rootstown Local,Portage
046144,Ross Local,Butler
045609,Rossford Exempted Village,Wood
049817,Russia Local,Shelby
044735,Salem City,Columbiana
044743,Sandusky City,Erie
049940,Sandy Valley Local,Stark
049130,Scioto Valley Local,Pike
143644,Sciotoville Community School,Scioto
048355,Sebring Local,Mahoning
049684,Seneca East Local,Seneca
046003,Shadyside Local,Belmont
044750,Shaker Heights City,Cuyahoga
045799,Shawnee Local,Allen
020092,Sheffield Academy,Lorain
044768,Sheffield-Sheffield Lake City,Lorain
044776,Shelby City,Richland
044784,Sidney City,Shelby
016812,SMART Academy,Cuyahoga
020076,Solon Academy,Cuyahoga
046607,Solon City,Cuyahoga
047738,South Central Local,Huron
016829,South Columbus Preparatory Academy at German Village,Franklin
019200,South Columbus Preparatory Academy at Southfield,Franklin
044792,South Euclid-Lyndhurst City,Cuyahoga
047951,South Point Local,Lawrence
048363,South Range Local,Mahoning
008281,South Scioto Academy,Franklin
049221,Southeast Local,Portage
021450,Southeast Ohio Classical Academy,Hocking
046276,Southeastern Local,Clark
049528,Southeastern Local,Ross
046441,Southern Local,Columbiana
048538,Southern Local,Meigs
049064,Southern Local,Perry
050237,Southington Local,Trumbull
012105,Southside Academy,Mahoning
048041,Southwest Licking Local,Licking
047381,Southwest Local,Hamilton
044800,South-Western City,Franklin
045807,Spencerville Local,Allen
050427,Springboro Community City,Warren
044818,Springfield City School District,Clark
048223,Springfield Local,Lucas
048371,Springfield Local,Mahoning
050062,Springfield Local,Summit
000510,Springfield Preparatory and Fitness Academy,Clark
020825,Springfield Sports Academy,Clark
044719,St Bernard-Elmwood Place City,Hamilton
045997,St Clairsville-Richland City,Belmont
048587,St Henry Consolidated Local,Mercer
044727,St Marys City,Auglaize
000855,Stambaugh Charter Academy,Mahoning
012644,STEAM Academy of Warren,Trumbull
013147,STEAM Academy of Warrensville Heights,Cuyahoga
044826,Steubenville City,Jefferson
044834,Stow-Munroe Falls City School District,Summit
050294,Strasburg-Franklin Local,Tuscarawas
049239,Streetsboro City,Portage
020189,Strongsville Academy,Cuyahoga
044842,Strongsville City,Cuyahoga
044859,Struthers City,Mahoning
050658,Stryker Local,Williams
009953,Sullivant Avenue Community School,Franklin
000301,Summit Academy - Toledo,Lucas
133587,Summit Academy Akron Elementary School,Summit
132779,Summit Academy Akron Middle School,Summit
000616,Summit Academy Alternative LearnersWarren Middle & Secondary,Trumbull
000306,Summit Academy Community School - Cincinnati,Hamilton
000297,Summit Academy Community School - Dayton,Montgomery
000302,Summit Academy Community School - Parma,Cuyahoga
132761,Summit Academy Community School Alternative Learners -Xenia,Greene
133322,Summit Academy Community School Alternative Learners-Lorain,Lorain
133306,Summit Academy Community School for Alternative Learn-Canton,Stark
000296,Summit Academy Community School-Columbus,Franklin
000305,Summit Academy Community School-Warren,Trumbull
000621,Summit Academy Dayton,Montgomery
000298,Summit Academy Secondary - Akron,Summit
000300,Summit Academy Secondary - Canton,Stark
000303,Summit Academy Secondary - Youngstown,Mahoning
000634,Summit Academy Secondary School - Middletown,Butler
000608,Summit Academy Transition High School-Cincinnati,Hamilton
000614,Summit Academy Transition High School-Columbus,Franklin
000623,Summit Academy-Youngstown,Mahoning
132746,Summit Acdy Comm Schl for Alternative Learners of Middletown,Butler
013175,SunBridge Schools,Lucas
047092,Swanton Local,Fulton
048652,Switzerland of Ohio Local,Belmont
044867,Sycamore Community City,Hamilton
044875,Sylvania Schools,Lucas
047969,Symmes Valley Local,Lawrence
133330,T.C.P. World Academy,Hamilton
014904,T2 Honors Academy,Cuyahoga
046151,Talawanda City,Butler
044883,Tallmadge City,Summit
049098,Teays Valley Local,Pickaway
046243,Tecumseh Local,Clark
143297,The Autism Academy Of Learning,Lucas
013170,The Brilliance School,Cuyahoga
011967,The Richland School of Academic Arts,Richland
047399,Three Rivers Local,Hamilton
044891,Tiffin City Schools,Seneca
045617,Tipp City Exempted Village,Miami
044909,Toledo City,Lucas
000951,Toledo Preparatory and Fitness Academy,Lucas
133942,Toledo School For The Arts,Lucas
044917,Toronto City,Jefferson
046201,Triad Local,Champaign
091397,Tri-County North Local,Preble
